name,rating,review_count,place_link
Musée Fabre,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x12b6af09f5ae850b:0xb0ea41728e236a0e
Giacometti Institute,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671b7fc54af73:0xdb5d01f83bd7f3af
Musée des Moulages,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66de1cea2a773:0x7f3cd524dd19a48b
Panthéon,4.6,64836,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671e7d297c973:0xe5eb004f23a758
Cité de l’architecture et du patrimoine,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66ffb5ba4a509:0xd1559bc4e18959e9
Palais de Chaillot,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66ffb5ba4a509:0x427aa27464ade6a1
Maison médiévale,4.2,5,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fb4b056d809:0xa60bdfe560fe3a16
Gallery of Evolution,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e22e697ea71:0xcd3c7a2f80da50ad
Adam Mickiewicz Monument,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fdc62dd0471:0x1995cbb75069dfdb
La plus petite maison de Paris,3.9,19,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e0de3865c71:0xc737cd94e2b66fb
Mundolingua,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671da479c6f09:0x4e37e7007101ae85
Monument à la République,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e08e0f31b73:0x30d5c603e82be4d
Saint-Cloud National Estate,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67b65fc6f8371:0x4b5a7d7c001337dd
Héloïse and Abélard's tomb,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66d8b68dae20f:0xd6a19b7b4f272546
Mineralogy Museum MINES ParisTech,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671c33a385d77:0xa9743fb90a3e6fa9
La Dame En Rouge,4.5,2,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f016ca35377:0x4f4c3453bf5bdcb5
Louvre Museum,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671d877937b0f:0xb975fcfa192f84d4
Statue of Louis XIV,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e233784aa77:0xd598036a982943dc
Galerie de Paléontologie et d’Anatomie comparée,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f7b332cb77:0x7d3a78584d1f1fc6
Monument aux morts de La Courneuve,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66d003280c577:0xfc8949d5081b7907
Narrowest street in Paris,4.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671e0f092b575:0x4e0121214d66a957
Mémorial De La Shoah,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671fd46fcc575:0xc902de577558f506
Monument Armée de Paris - Garde Nationale,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67bb4f814fc75:0x621dfd896dd0fa12
Palace of Versailles,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67d94d7b14c75:0x538fcc15f59ce8f
Musée des Archives Nationales - Hôtel de Soubise,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e03be63060f:0xc9184251727665f7
Christopher's Paris (Guided Tours),5.0,118,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67350cbec8f0d:0xaca500fd6aea2d1
Outdoor Sculpture Museum,4.1,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671fa27a7220f:0x8723b2ff4208d949
Meeting Point,5.0,1,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671c6e10c8675:0x610f18a4ed20f900
"Département des Antiquités grecques, étrusques et romaines",4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f0071b96f7b:0x993a24c8cfc78e0b
Musée du Luxembourg,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671381ba9687b:0xddbd4018e8c69d7b
Astrolabe ESA HQ Visitor Center and Space Shop,4.9,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671005abc697b:0xbecf177fbb594e15
Monument à Delacroix - Aimé-Jules Dalou,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67124644bd17b:0x8b809eff0fac36c4
Le M. Musée du Vin,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66ffd89e9f379:0x9d1c4cbca509d21a
National Museum of Natural History,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f12d404411:0x4743d62149f1c6e1
Friends of the National Museum of Natural History,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f12d404411:0xd2c1b3043dbb03fc
Rex Studios,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e16727f7211:0x55409539ceb1f1ba
Municipal Museum of Saint-Cloud,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67b3f5ff19579:0x25f94336be4b0524
Monument of Gaspard de Coligny of Châtillon,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e23fda37217:0x891761df6eece17b
Chapelle expiatoire,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e34d6478017:0x54421535a41e89d7
Saint-Martin-des-Champs Priory,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e1a9e49c517:0xe65df98f1dde6bae
Monument to Taras Shevchenko,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671d7b02fcc7f:0x17bf12d81b8d2169
Cartier Foundation for Contemporary Art,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671c80c12b47d:0x225ddbf564cf5d5a
Pavillon Chevreul,3.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f030ecde7d:0x8579913bdd42958e
Monument à Louise Michel,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66ffefa621f7d:0x75b2b65129396db8
Carnavalet Museum,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e00f9521b7d:0xc8c16b75253918c1
The Pointe du Hoc,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x480b0a35fad1667d:0x16f2dd108188512e
Place Georges Pompidou,4.5,106,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fbd4b950a17:0x1c808bfba0c04ec7
Zadkine Museum,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671c5bb04807d:0x70fee735539c0c
Soc Des Amis Musee Carnavalet,4.1,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e01bf289e15:0x34e067dee3ee319d
Appartements Napoléon III,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fba85cee983:0x46f25d443a9b1d82
Catacombs,3.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f00222f7783:0xad0245bbd3fc101c
Museum of Romantic Life,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e48c5018683:0x4d3be5d6a3b287a0
Musée d'Orsay,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e2bb630941b:0xd071bd8cb14423d8
Friends of the Orsay Museum,4.9,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e2bb630941b:0x3754a39d46a77105
Monument de la Cascade du Bois de Boulogne,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e665327114a483:0x579a01a67a988e40
Turenne Enfant Statue,5.0,1,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f0040a0b71b:0xf637da636e90c233
Maison classée monument historique,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e60d0066f7ae19:0x39cf3aba1c7a16e
Fontaine de la Croix-du-Trahoir,3.9,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e219c19a481:0xe3ae32eed7bd649
Musée d’histoire de la médecine,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671dc29c3ea81:0x1a588d006dbca60b
Alma's bridge - Diana,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fddbf0f1481:0xaa4fd458e3c05e2b
Jazz Museum,3.9,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e588d842981:0x927477f86c10cad
Tour Saint-Jacques,4.5,5113,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e1e5e72161b:0xe085e8b2d3c0632e
Grande Arche de la Défense,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66502128aae1f:0x9dce86817f537c
Square Jean XXIII,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671e3c39fb11f:0xfcef1b7df2f35fa1
Le Défenseur du Temps,4.0,98,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e1b98a2b485:0xbd07128d4721cc80
Fontaine Eginhard,3.7,7,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671fe70f4ec85:0xcf1f7fab4201961b
Place de la République,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f000e2efe1d:0x988e52883c8f2722
Le Bouchard,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f002004141d:0x9a0e4d96d96fd57b
Palais de la découverte,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fdab90c0a87:0xc90378f84d54ebd4
Bourse de Commerce - Pinault Collection,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e22ce051b1f:0x9f6abeee1be73e8a
Museum of Modern Art André Malraux,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e02ed860b92e1f:0x22f9d35811b4b2d2
Musée de la Falotte,4.9,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x12aa61dd80ea528b:0xe8f625988311ee9b
Gustave Moreau Museum,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e4872f9718b:0x7a115e52e9d1123f
Fontaine Egyptienne dite du Fellah,4.1,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671d32eddad23:0xc3e3110ea4f3494e
Musée Adam-Mickiewicz,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671fcaeaec723:0x70db10282242946
Republic Square Paris,4.4,214,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f8c4441b621:0x9d545750b358b83e
Chama da Liberdade,4.0,1,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f00329c2a21:0xa89aba70d75bb92d
Equestrian Statue of Henri IV,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e2091c14e89:0x13d341b8f039c136
Musée de la Légion d'honneur,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e2b9dc74f21:0x3b13e2b8bcd45015
Centre des Monuments Nationaux,2.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f860434a21:0xee7edd9be308a667
Statue de Frédéric Chopin,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fbf25855321:0x199897b6d9e1bc80
Mandala,5.0,6,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671ac2a2b0a23:0xb80cb3b31d086a6e
